,Test ROC-AUC,CV ROC-AUC (mean),CV ROC-AUC (std)
Logistic Regression,0.9953703703703703,0.9953183788345923,0.004021079778122986
SVM (RBF),0.9950396825396826,0.995915826570101,0.003738441338875178
Random Forest,0.9937169312169313,0.992144057280808,0.005665664367232208
Gradient Boosting,0.9907407407407408,0.9911753249904249,0.006003145675279236
